rank	schoolChinese	schoolEnglish	score
248	广西师范大学	Guangxi Normal University	2.125
248	湖北科技学院	Hubei University of Science and Technology	2.125
248	江苏海洋大学	Jiangsu Ocean University	2.125
248	江西工程学院	Jiangxi University of Engineering	2.125
248	南京航空航天大学（天目湖校区）	Nanjing University of Aeronautics and Astronautics, Tianmuhu Campus	2.125
248	南京邮电大学	Nanjing University of Posts and Telecommunications	2.125
248	沈阳工业大学	Shenyang University of Technology	2.125
248	沈阳工业大学辽阳分校	Shenyang University of Technology, Liaoyang Campus	2.125
248	石河子大学	Shihezi University	2.125
248	台州学院	Taizhou University 	2.125
259	陆军边海防学院昆明校区	Army Border and Coastal Defense Academ, Kunming Campus	1.824
260	柳州工学院	Liuzhou Institute of Technology	1.725
261	长春大学	Changchun University	1.275
262	北京交通大学（威海校区）	Beijing Jiaotong University Weihai Campus	0.950
262	淮阴工学院	Huaiyin Institute of Technology	0.950
264	江西冶金职业技术学院	Jiangxi Metallurgical Vocational and Technical College	0.850
264	宁波大学	Ningbo University	0.850
264	青海大学	Qinghai University	0.850
264	山东大学	Shan Dong University	0.850
264	中原工学院	Zhongyuan University of Technology	0.850
